symbol,chg_corr,chg_t,lvl_corr,lvl_coint_p,n,rank_chg,rank_lvl_coint
MARA,0.4432765881262347,4.532313177894665,0.862338910211208,0.01835119400098814,86,1,37.0
RIOT,0.43944255500144025,4.483679104504227,0.8076427752924645,0.10846617646069151,86,2,217.0
RUM,0.4164496123254245,4.198192604718694,0.4384681981999066,0.48649854985748453,86,3,981.0
CLSK,0.37351669895666934,3.6904382607958244,0.8098966328645427,0.09419354565762217,86,4,193.0
DJT,0.33725778930662903,3.2833845310282546,0.590465276421516,0.2883182739605701,86,5,610.0
COIN,0.33361421627651955,3.2434426408279635,0.7095968999510538,0.20645959324434082,86,6,435.0
RXO,0.3131600358202229,3.0221733396357244,-0.025124957486056095,0.5719584722292128,86,7,1166.0
GEO,0.30905159468978716,2.97830685059822,0.8044484535008358,0.38019190221741206,86,8,790.0
BILL,0.2925453454526115,2.8038878421702376,0.2708566655202032,0.8333413428971403,86,9,1303.0
IBKR,0.2803082310794658,2.6763626295337697,-0.1775666570244453,0.4439175522718134,86,10,898.0
HUT,0.27431143730639207,2.6143915371792303,0.7238994976513439,0.11614735379459373,86,11,241.0
MSTR,0.2737072452318161,2.6081662523070084,0.3628497259859012,0.634118390961169,86,12,1275.0
IBIT,0.2716080381784036,2.586562978140467,0.2846084324588264,0.581391261237256,86,13,1215.0
FBTC,0.2708846391559222,2.579127619758861,0.2828253438296326,0.5822499883278421,86,14,1218.0
BTDR,0.2706640079443906,2.5768608311473984,0.7767048687242417,0.0362327847975525,86,15,71.0
GBTC,0.26925581529387643,2.562403211446052,0.30859451403952876,0.5673089179267042,86,16,1150.0
BITB,0.26919275931407144,2.5617562443357893,0.2838281770235451,0.5811457040155583,86,17,1212.0
ARKB,0.26876259322452006,2.5573436002747547,0.28399059322453923,0.5811558860074894,86,18,1213.0
DFS,0.2657614695034594,2.5266037609768754,0.08584266989547516,0.6002935254602731,86,19,1251.0
MGNI,0.2583066002652843,2.450584611400224,0.5764979125642831,0.5697746184002652,86,20,1158.0
CCCC,0.25398967040134346,2.4067794658494837,-0.27245170981863676,0.4453259067073953,86,21,902.0
COF,0.25338504523459243,2.400656514279209,0.05097692360191014,0.5984875580702449,86,22,1249.0
HUM,0.2531052892683645,2.3978244840433933,0.7418769573710939,0.22921298360160935,86,23,485.0
ETHE,0.2501445060686183,2.3678910430269395,0.6626887298395077,0.19316202067582178,86,24,402.0
JPM,0.2415821641309746,2.281720839697445,-0.21250803973750543,0.4786409831641319,86,25,962.0
CXW,0.2409480472495422,2.2753620116414766,0.2724531489165421,0.550820003411278,86,26,1100.0
INTU,0.24006457212685878,2.266507812102507,0.08529372844132875,0.5821204278474039,86,27,1217.0
STX,0.2388429904974339,2.254274943077688,0.3024365713467525,0.7202164477228279,86,28,1293.0
WFC,0.2359383365412785,2.2252332959210666,0.7588442761919524,0.017196695540819724,86,29,36.0
ZIM,0.22912906951904802,2.1573979170109836,-0.1000440005892215,0.4904079775869292,86,30,990.0
AVDX,0.22697679490255318,2.1360266262835594,0.9073502096424223,0.0007042370432771314,86,31,5.0
SYF,0.22344617050742555,2.1010401090024793,0.14153972879167542,0.597617790312835,86,32,1248.0
OUST,0.22125762470120713,2.0793966546225815,0.72578794477088,0.19079569889974107,86,33,397.0
FNB,0.21987767376957726,2.0657667442537107,0.09889151461806464,0.5881870341977784,86,34,1234.0
ARWR,0.21796266454079252,2.046873578018042,0.7664331580213409,0.48946972958653717,86,35,989.0
