k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,etf,bar_freq
6,x_leads_y,8.562832583348215e-07,1.1214727832131801,0.2620866703285297,0.09553473644438737,74120,16,10,74084,high,VGT,5s
7,x_leads_y,-2.614778557437142e-07,-0.3848889167786629,0.7003197176772418,0.09553473644438737,74120,16,10,74084,high,VGT,5s
8,x_leads_y,2.4108691298150585e-07,0.4813247664734214,0.6302856975980858,0.09553473644438737,74120,16,10,74084,high,VGT,5s
9,x_leads_y,-7.161446144998153e-07,-1.2845940548748227,0.19893417726991658,0.09553473644438737,74120,16,10,74084,high,VGT,5s
10,x_leads_y,4.939620639843482e-07,1.5647705714919515,0.11763671435005185,0.09553473644438737,74120,16,10,74084,high,VGT,5s
-10,y_leads_x,-2.3018559426413884e-07,-0.4897542370654447,0.6243078172376919,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-9,y_leads_x,7.124414593793541e-07,1.8787530353659108,0.060278222468725245,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-8,y_leads_x,-3.3149875939122236e-07,-0.6233880281755453,0.53302956323259,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-7,y_leads_x,-1.9496808862384864e-07,-0.33402935493888536,0.7383574075817365,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-6,y_leads_x,3.507632501862298e-07,1.0177117814521215,0.3088149466863005,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-5,y_leads_x,3.6444530645519697e-07,1.0007136517343866,0.31696526544385506,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-4,y_leads_x,-1.5025777884044405e-07,-0.3101083326551724,0.7564785758782737,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-3,y_leads_x,-1.7181280411675544e-06,-3.375147385708845,0.0007377616833458835,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-2,y_leads_x,-2.019089962054441e-06,-3.5311861400802695,0.0004137005059988505,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-1,y_leads_x,1.3038408363599178e-05,27.827027601415846,2.0434649124661694e-170,0.04498136560228139,115467,28,10,115419,high,VFH,5s
1,x_leads_y,1.3001041124690431e-05,26.754752845324084,1.0871548415118245e-157,0.04498136560228139,115467,28,10,115419,high,VFH,5s
2,x_leads_y,-2.0324751168213026e-06,-3.355831002269924,0.0007912690491681877,0.04498136560228139,115467,28,10,115419,high,VFH,5s
3,x_leads_y,-1.936409228624642e-06,-4.77937115830108,1.7584431453731465e-06,0.04498136560228139,115467,28,10,115419,high,VFH,5s
4,x_leads_y,5.4379483680926966e-08,0.14754892284813426,0.8826987674076991,0.04498136560228139,115467,28,10,115419,high,VFH,5s
5,x_leads_y,3.6712703007634176e-07,0.9094270493049131,0.36312474904577297,0.04498136560228139,115467,28,10,115419,high,VFH,5s
6,x_leads_y,5.442090021488622e-07,1.3870462141561075,0.16542767124210955,0.04498136560228139,115467,28,10,115419,high,VFH,5s
7,x_leads_y,-4.987622800854213e-07,-0.8252195968195878,0.4092469296034268,0.04498136560228139,115467,28,10,115419,high,VFH,5s
8,x_leads_y,-2.029938649963405e-07,-0.4916286752567112,0.6229818681881719,0.04498136560228139,115467,28,10,115419,high,VFH,5s
9,x_leads_y,4.0606891193634855e-07,1.0167237364909154,0.3092848706339928,0.04498136560228139,115467,28,10,115419,high,VFH,5s
10,x_leads_y,-8.535877773606543e-07,-3.120827798995764,0.0018034345810523573,0.04498136560228139,115467,28,10,115419,high,VFH,5s
-10,y_leads_x,-6.369593893991805e-07,-1.3932729641975186,0.16353726292565207,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-9,y_leads_x,1.2560195127916465e-06,2.589183612718191,0.009620378248292696,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-8,y_leads_x,4.933294909422578e-08,0.15456980733374515,0.8771604741355918,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-7,y_leads_x,1.3144252864020443e-06,3.713322121414074,0.00020455625497443796,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-6,y_leads_x,6.056219213441503e-07,1.9036368531030223,0.05695749570133262,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-5,y_leads_x,1.2194991145860345e-06,2.397665055130029,0.016499945315352385,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-4,y_leads_x,8.902174746369678e-08,0.2107891031228431,0.833051841957123,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-3,y_leads_x,6.551787344704228e-07,1.1970104571338722,0.23130247888705313,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-2,y_leads_x,2.0593277686511564e-06,3.8808087242724074,0.00010410969771636914,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-1,y_leads_x,9.526416195099241e-06,8.634134527437292,5.9173329045488175e-18,0.04702470574169104,103464,28,10,103416,high,VIS,5s
1,x_leads_y,9.505696005090772e-06,8.70159529030715,3.2725082908638977e-18,0.04702470574169104,103464,28,10,103416,high,VIS,5s
2,x_leads_y,1.8213225576846796e-06,3.131279830693137,0.0017404623401020695,0.04702470574169104,103464,28,10,103416,high,VIS,5s
3,x_leads_y,6.149523627443692e-07,1.1206816805008981,0.26242338280636013,0.04702470574169104,103464,28,10,103416,high,VIS,5s
4,x_leads_y,4.072037826336636e-07,0.7804504563328477,0.4351257786258683,0.04702470574169104,103464,28,10,103416,high,VIS,5s
5,x_leads_y,1.1578929318011727e-06,2.4246941061079763,0.015321290341746919,0.04702470574169104,103464,28,10,103416,high,VIS,5s
6,x_leads_y,4.866781773790621e-07,1.4419760677599853,0.14930912515042707,0.04702470574169104,103464,28,10,103416,high,VIS,5s
7,x_leads_y,9.933501043748476e-07,2.6703913201915843,0.007576289330669907,0.04702470574169104,103464,28,10,103416,high,VIS,5s
8,x_leads_y,1.3338674372125625e-07,0.3090218522243156,0.7573049041500383,0.04702470574169104,103464,28,10,103416,high,VIS,5s
9,x_leads_y,1.3220258796509755e-06,2.7021340523252917,0.0068895978923714215,0.04702470574169104,103464,28,10,103416,high,VIS,5s
10,x_leads_y,-2.2477094462419494e-07,-1.3456563802885524,0.17841335987731255,0.04702470574169104,103464,28,10,103416,high,VIS,5s
-10,y_leads_x,-1.3366452357900958e-07,-0.1881899593884836,0.8507277431171288,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-9,y_leads_x,3.7706696207885037e-07,0.7147134632120162,0.474786116886726,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-8,y_leads_x,2.5773594627926453e-07,0.33714591949336836,0.7360069029360958,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-7,y_leads_x,-7.625295110281379e-07,-1.01061466020277,0.31220089639868653,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-6,y_leads_x,2.8382884073760793e-07,0.5701619001441203,0.5685678946093429,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-5,y_leads_x,4.785173332617099e-07,1.2209814938634393,0.22209302673645048,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-4,y_leads_x,4.1720956840936836e-07,0.7724377913250736,0.4398551782358061,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-3,y_leads_x,-2.3955447909495153e-06,-3.9627501371019163,7.409131342787906e-05,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-2,y_leads_x,-2.4358016134335266e-06,-3.2187608247525645,0.001287458229479383,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-1,y_leads_x,1.3886705761492061e-05,21.27185645082459,2.0692716872580225e-100,0.04506854328153276,70118,17,10,70081,high,VFH,5s
1,x_leads_y,1.3894416108224035e-05,20.482770226522756,3.067094392764109e-93,0.04506854328153276,70118,17,10,70081,high,VFH,5s
2,x_leads_y,-2.5001450409730265e-06,-3.0487603251274997,0.0022978772720304037,0.04506854328153276,70118,17,10,70081,high,VFH,5s
3,x_leads_y,-2.3502611438759337e-06,-4.498738069954924,6.835801723243758e-06,0.04506854328153276,70118,17,10,70081,high,VFH,5s
4,x_leads_y,2.3670775787326675e-07,0.49995481911867884,0.617106891054795,0.04506854328153276,70118,17,10,70081,high,VFH,5s
5,x_leads_y,7.985789959276732e-07,1.7278859457031222,0.08400867451937455,0.04506854328153276,70118,17,10,70081,high,VFH,5s
6,x_leads_y,4.200779761870761e-07,0.7691508829758279,0.4418037446325722,0.04506854328153276,70118,17,10,70081,high,VFH,5s
7,x_leads_y,-9.685826644548172e-07,-1.1667898272395143,0.24329525617575531,0.04506854328153276,70118,17,10,70081,high,VFH,5s
8,x_leads_y,-7.54041522644024e-09,-0.01226317148886929,0.9902156500403575,0.04506854328153276,70118,17,10,70081,high,VFH,5s
9,x_leads_y,3.3064386503923985e-07,0.6462473484653595,0.5181191801050441,0.04506854328153276,70118,17,10,70081,high,VFH,5s
10,x_leads_y,-8.600870335208875e-07,-2.5667600095337795,0.010265363206007279,0.04506854328153276,70118,17,10,70081,high,VFH,5s
-10,y_leads_x,-4.923903891233749e-07,-0.9000403447214548,0.3680987808127347,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-9,y_leads_x,1.3705716598147492e-06,2.2438596245307885,0.02484143465410626,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-8,y_leads_x,-2.6066969981976795e-07,-0.857958868171006,0.39091517617920757,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-7,y_leads_x,1.5547937949468031e-06,3.489677250041488,0.00048360422840473935,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-6,y_leads_x,9.619283516945946e-07,2.2466437521076714,0.024662803654031992,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-5,y_leads_x,1.4015157056150736e-06,1.7762046278072647,0.07569919577819248,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-4,y_leads_x,-5.694401195973573e-07,-1.3123961117819376,0.18938651812257157,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-3,y_leads_x,1.0701331181620798e-06,1.2988812290675589,0.19398469246659922,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-2,y_leads_x,2.631224860913314e-06,4.7595791144255655,1.939970731836586e-06,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-1,y_leads_x,1.0292971111861855e-05,7.636709202859923,2.2284403614542345e-14,0.05341118448752147,63646,17,10,63609,high,VIS,5s
1,x_leads_y,1.032741930288102e-05,7.801634792878039,6.111028524914987e-15,0.05341118448752147,63646,17,10,63609,high,VIS,5s
2,x_leads_y,2.328196910660048e-06,3.4315589479581905,0.0006001226891897928,0.05341118448752147,63646,17,10,63609,high,VIS,5s
3,x_leads_y,1.003810355096684e-06,1.257334581557083,0.208632506773329,0.05341118448752147,63646,17,10,63609,high,VIS,5s
4,x_leads_y,6.8984313439859455e-09,0.010286922838703466,0.9917923678454249,0.05341118448752147,63646,17,10,63609,high,VIS,5s
5,x_leads_y,1.309288973027143e-06,1.7907967310779196,0.07332592003817956,0.05341118448752147,63646,17,10,63609,high,VIS,5s
6,x_leads_y,8.319997023295651e-07,1.7301390497739766,0.08360543485293219,0.05341118448752147,63646,17,10,63609,high,VIS,5s
7,x_leads_y,1.009031929262289e-06,2.276983694108847,0.02278719935991285,0.05341118448752147,63646,17,10,63609,high,VIS,5s
8,x_leads_y,4.74837357137802e-09,0.014552413196828196,0.9883892639954831,0.05341118448752147,63646,17,10,63609,high,VIS,5s
9,x_leads_y,1.552349615764261e-06,2.403005553623109,0.016260940476601586,0.05341118448752147,63646,17,10,63609,high,VIS,5s
10,x_leads_y,-9.68184294304167e-08,-0.731825522622874,0.4642750689031897,0.05341118448752147,63646,17,10,63609,high,VIS,5s
-10,y_leads_x,9.615260003787526e-07,2.6603909724121846,0.0078049991993730675,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-9,y_leads_x,-6.562964488458882e-07,-1.2059535815349816,0.22783538891338562,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-8,y_leads_x,4.1937867436248293e-07,0.7060729366676116,0.480142780819959,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-7,y_leads_x,2.0258701452357355e-07,0.3243879046775604,0.7456443757638317,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-6,y_leads_x,6.366297323744744e-07,1.1095997170728917,0.26717155325340836,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-5,y_leads_x,1.4380002201956299e-06,2.575917941473176,0.009997436929394789,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-4,y_leads_x,1.4604420931610594e-07,0.28868252461566596,0.7728243369415511,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-3,y_leads_x,4.7020013605786726e-07,1.066950841083675,0.28599403497168796,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-2,y_leads_x,-2.3298275345225497e-06,-3.3977236303644545,0.0006794902648275179,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-1,y_leads_x,2.751936309219957e-05,32.1841134247238,2.944709669647052e-227,0.18235775871252402,72278,17,10,72241,high,VCR,5s
1,x_leads_y,2.7501421068323485e-05,32.736352495009776,4.748843180221621e-235,0.18235775871252402,72278,17,10,72241,high,VCR,5s
2,x_leads_y,-2.29707316982316e-06,-3.336678792110801,0.0008478587483622716,0.18235775871252402,72278,17,10,72241,high,VCR,5s
3,x_leads_y,4.822948274684959e-07,1.115164216658714,0.2647800570597537,0.18235775871252402,72278,17,10,72241,high,VCR,5s
4,x_leads_y,1.6661927704090925e-07,0.3426246498666061,0.7318808554309895,0.18235775871252402,72278,17,10,72241,high,VCR,5s
5,x_leads_y,1.4706452506686925e-06,2.5499924994011964,0.010772523669059016,0.18235775871252402,72278,17,10,72241,high,VCR,5s
6,x_leads_y,5.916347394137913e-07,1.0451478170362845,0.2959546569262723,0.18235775871252402,72278,17,10,72241,high,VCR,5s
7,x_leads_y,3.0598118071439154e-07,0.48548290085640633,0.6273338391035459,0.18235775871252402,72278,17,10,72241,high,VCR,5s
8,x_leads_y,1.4880541683865962e-07,0.2685224861167346,0.7882971687941902,0.18235775871252402,72278,17,10,72241,high,VCR,5s
9,x_leads_y,-3.2144110150196927e-07,-0.5929418739997099,0.5532200530412132,0.18235775871252402,72278,17,10,72241,high,VCR,5s
10,x_leads_y,1.9284606582617167e-07,0.45891109219185267,0.6462980130092129,0.18235775871252402,72278,17,10,72241,high,VCR,5s
-10,y_leads_x,3.60938807016087e-07,0.5391754754657863,0.5897657807772954,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-9,y_leads_x,-6.519566631239147e-07,-1.1413166698673363,0.2537381675815964,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-8,y_leads_x,4.489505404302256e-07,1.0661480683372249,0.2863567133566143,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-7,y_leads_x,-1.3419368794744302e-06,-2.537546267067281,0.01116326111972805,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-6,y_leads_x,8.415332673276466e-07,1.4749602689828891,0.14022322539613677,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-5,y_leads_x,1.329240303993136e-06,2.069019164984908,0.03854428830718465,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-4,y_leads_x,-7.2489716077529e-07,-0.8196617522376554,0.4124089597327024,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-3,y_leads_x,-1.8015015627109067e-06,-3.046324237335026,0.0023165787468191635,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-2,y_leads_x,-3.623816371870322e-06,-4.351803232139249,1.3502241457662728e-05,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-1,y_leads_x,2.0737634593701092e-05,29.898955513542525,2.030287490607817e-196,0.0656380442431097,74527,17,10,74490,high,VDE,5s
1,x_leads_y,2.064635502974929e-05,29.92291209560709,9.908565713044521e-197,0.0656380442431097,74527,17,10,74490,high,VDE,5s
2,x_leads_y,-3.6291672474537765e-06,-4.269298256026703,1.9608891768648813e-05,0.0656380442431097,74527,17,10,74490,high,VDE,5s
3,x_leads_y,-1.645917266139608e-06,-2.733982741997274,0.006257332399923479,0.0656380442431097,74527,17,10,74490,high,VDE,5s
4,x_leads_y,-6.903183339257687e-07,-0.7997884213183127,0.42383339265468123,0.0656380442431097,74527,17,10,74490,high,VDE,5s
5,x_leads_y,1.430451747478926e-06,2.0930077062430814,0.03634846664272594,0.0656380442431097,74527,17,10,74490,high,VDE,5s
6,x_leads_y,8.140308125908318e-07,1.492963210684548,0.13544681724640206,0.0656380442431097,74527,17,10,74490,high,VDE,5s
7,x_leads_y,-1.1506352319683565e-06,-2.311984988437753,0.020778510582179614,0.0656380442431097,74527,17,10,74490,high,VDE,5s
8,x_leads_y,4.5083893967946494e-07,1.018085438653773,0.3086373547081668,0.0656380442431097,74527,17,10,74490,high,VDE,5s
9,x_leads_y,-2.924826676510624e-07,-0.6002239329262895,0.5483570056059905,0.0656380442431097,74527,17,10,74490,high,VDE,5s
10,x_leads_y,-9.137761253139078e-07,-2.2486962977360636,0.024531824895702204,0.0656380442431097,74527,17,10,74490,high,VDE,5s
-10,y_leads_x,3.356236461413802e-07,1.009614304360562,0.31268011366248294,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-9,y_leads_x,-5.115295579741115e-07,-1.2237389776567498,0.22105071077247618,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-8,y_leads_x,1.5226645796240276e-07,0.3062387005283475,0.7594229081819355,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-7,y_leads_x,-1.88461675619945e-07,-0.5395779721663162,0.5894881111775212,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-6,y_leads_x,4.2306297792656784e-07,1.1738060388365017,0.24047272463079117,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-5,y_leads_x,1.420999141621069e-07,0.3484212456415423,0.7275238492287426,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-4,y_leads_x,-1.4309533537020014e-07,-0.3678113486152483,0.7130139063587531,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-3,y_leads_x,-2.796878249570795e-07,-0.6297249735002133,0.5288745402940997,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-2,y_leads_x,-2.0079634898610637e-06,-3.550460296168006,0.00038455813661804756,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-1,y_leads_x,1.6665300554684704e-05,15.508855157996356,3.022194204910896e-54,0.07619824138618059,75224,17,10,75187,high,VOX,5s
1,x_leads_y,1.6658774561274313e-05,15.598489331730464,7.453706581545989e-55,0.07619824138618059,75224,17,10,75187,high,VOX,5s
2,x_leads_y,-2.071111358590212e-06,-3.57025546667432,0.0003566332461034763,0.07619824138618059,75224,17,10,75187,high,VOX,5s
3,x_leads_y,-3.837205717298851e-07,-0.8633023870485842,0.38797123211121687,0.07619824138618059,75224,17,10,75187,high,VOX,5s
4,x_leads_y,-3.0248006116424917e-07,-0.7988979155326646,0.424349607726637,0.07619824138618059,75224,17,10,75187,high,VOX,5s
5,x_leads_y,1.649310241701093e-07,0.3857356255896802,0.69969247551129,0.07619824138618059,75224,17,10,75187,high,VOX,5s
6,x_leads_y,4.3507638973426325e-07,1.1840533279241605,0.2363919536137643,0.07619824138618059,75224,17,10,75187,high,VOX,5s
7,x_leads_y,-2.1811674085969644e-07,-0.5871402848700404,0.5571094937217331,0.07619824138618059,75224,17,10,75187,high,VOX,5s
8,x_leads_y,-5.1634668672370716e-08,-0.10524276315488418,0.9161831790213242,0.07619824138618059,75224,17,10,75187,high,VOX,5s
9,x_leads_y,-3.236043328602922e-07,-0.7265666273354058,0.46749147826766424,0.07619824138618059,75224,17,10,75187,high,VOX,5s
10,x_leads_y,1.9236663082274994e-07,0.5648149367152989,0.5721996463446501,0.07619824138618059,75224,17,10,75187,high,VOX,5s
-10,y_leads_x,6.917066019243147e-07,1.4191228101642595,0.1558632148856206,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-9,y_leads_x,-9.740266638077058e-07,-1.7135964710945437,0.08660286211509102,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-8,y_leads_x,1.2935597833503386e-07,0.2526797923552482,0.8005156646251322,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-7,y_leads_x,-1.9983712440591943e-07,-0.3300263315359976,0.7413800660609099,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-6,y_leads_x,7.669547653591425e-07,1.1173402847828109,0.26384885706923844,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-5,y_leads_x,1.043778515452925e-06,1.750807342659234,0.07997910138894623,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-4,y_leads_x,-4.768951319291968e-07,-0.826686593967427,0.4084147217820898,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-3,y_leads_x,2.9885212804267844e-07,0.3485690836173037,0.7274128413562249,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-2,y_leads_x,-3.918135513412266e-06,-6.48811248584391,8.691837919966836e-11,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-1,y_leads_x,2.315933534498726e-05,33.9868151154174,3.4889464502119633e-253,0.09550145032072155,78769,17,10,78732,high,VGT,5s
1,x_leads_y,2.3128797795834044e-05,34.06075301063446,2.813329168846461e-254,0.09550145032072155,78769,17,10,78732,high,VGT,5s
2,x_leads_y,-3.884218614108011e-06,-6.476243636889814,9.403416918129109e-11,0.09550145032072155,78769,17,10,78732,high,VGT,5s
3,x_leads_y,3.5165651862594685e-07,0.41953429222255706,0.6748256982934719,0.09550145032072155,78769,17,10,78732,high,VGT,5s
4,x_leads_y,-4.90083485862068e-07,-0.86667625152001,0.3861194211069312,0.09550145032072155,78769,17,10,78732,high,VGT,5s
5,x_leads_y,1.0226039283002529e-06,1.70378835783861,0.08842063376824445,0.09550145032072155,78769,17,10,78732,high,VGT,5s
6,x_leads_y,8.086951658969305e-07,1.1162810378688164,0.264301855702504,0.09550145032072155,78769,17,10,78732,high,VGT,5s
7,x_leads_y,-1.6988029443486554e-07,-0.2632532243719871,0.7923554099335203,0.09550145032072155,78769,17,10,78732,high,VGT,5s
8,x_leads_y,3.183304413986915e-07,0.6590065949167159,0.5098915337369743,0.09550145032072155,78769,17,10,78732,high,VGT,5s
9,x_leads_y,-7.884335729220209e-07,-1.4647269687399311,0.1429954239609764,0.09550145032072155,78769,17,10,78732,high,VGT,5s
10,x_leads_y,4.134532758963649e-07,1.3354226829699753,0.18173804490577428,0.09550145032072155,78769,17,10,78732,high,VGT,5s
-10,y_leads_x,2.255089349549843e-07,0.6444503185926621,0.5192834640303893,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-9,y_leads_x,2.203299314076197e-07,0.3340408427404586,0.7383487390046046,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-8,y_leads_x,6.765489778456086e-08,0.09409890483530893,0.9250305903375181,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-7,y_leads_x,1.3768470682988527e-07,0.31985326463298286,0.7490795675312556,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-6,y_leads_x,-6.314319999097265e-07,-1.0021555534284334,0.3162684705077434,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-5,y_leads_x,-2.400387463651107e-07,-0.4972172845226458,0.6190358339305209,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-4,y_leads_x,1.2440172785298224e-06,2.4880879988350295,0.01284319498994425,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-3,y_leads_x,8.621899717678891e-07,2.2923253621680844,0.021886875376553705,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-2,y_leads_x,-9.854945759122458e-07,-1.4636474668623982,0.14329029602698348,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-1,y_leads_x,1.8387822523548755e-05,30.67302567891565,1.303485658292877e-206,0.19690788330411846,61433,17,10,61396,high,VDC,5s
1,x_leads_y,1.8303420380341425e-05,29.505590557828526,2.4407349198382137e-191,0.19690788330411846,61433,17,10,61396,high,VDC,5s
2,x_leads_y,-9.404782085262494e-07,-1.3602022933710742,0.17376591704729671,0.19690788330411846,61433,17,10,61396,high,VDC,5s
3,x_leads_y,8.300473363112508e-07,2.2236662795034654,0.026170905582407422,0.19690788330411846,61433,17,10,61396,high,VDC,5s
4,x_leads_y,1.1110988061128923e-06,2.584066687436729,0.009764291259576213,0.19690788330411846,61433,17,10,61396,high,VDC,5s
5,x_leads_y,-6.636066823275815e-08,-0.14562866804365843,0.8842145354171443,0.19690788330411846,61433,17,10,61396,high,VDC,5s
6,x_leads_y,-4.539562017655277e-07,-0.7843100696214013,0.43285819232365075,0.19690788330411846,61433,17,10,61396,high,VDC,5s
7,x_leads_y,-1.1494319892520133e-07,-0.2692725236202151,0.7877199745231205,0.19690788330411846,61433,17,10,61396,high,VDC,5s
8,x_leads_y,-2.603911934947056e-07,-0.37649906962551094,0.706545907024247,0.19690788330411846,61433,17,10,61396,high,VDC,5s
9,x_leads_y,3.0737767348799185e-07,0.48492873465415876,0.6277268985802341,0.19690788330411846,61433,17,10,61396,high,VDC,5s
10,x_leads_y,4.792260259385656e-07,1.6841925489431415,0.09214446278015477,0.19690788330411846,61433,17,10,61396,high,VDC,5s
-10,y_leads_x,-5.123879542281132e-08,-0.10836996520652034,0.9137022250889415,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-9,y_leads_x,1.723223073216022e-07,0.4250134233045789,0.6708268893974852,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-8,y_leads_x,-1.491161595082948e-07,-0.3049178159881803,0.7604287463216844,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-7,y_leads_x,3.0585622576851054e-07,0.5144204507214715,0.6069580641344172,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-6,y_leads_x,3.972573694881944e-07,1.1519571690839308,0.24933867407832078,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-5,y_leads_x,3.9235816150099537e-07,1.1860685015473778,0.23559524845940927,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-4,y_leads_x,-3.092811533826675e-07,-0.6884178083852461,0.49118971251031607,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-3,y_leads_x,-1.4156510674560405e-06,-3.111310319729832,0.001862590913302374,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-2,y_leads_x,-2.3607463666532364e-06,-4.945846555536762,7.58136623413133e-07,0.050536582688214815,140422,34,10,140368,high,VFH,5s
-1,y_leads_x,1.4201795774345873e-05,24.24844276845007,6.867062580462548e-130,0.050536582688214815,140422,34,10,140368,high,VFH,5s
1,x_leads_y,1.4154079875141917e-05,24.075439188606367,4.5213219546783666e-128,0.050536582688214815,140422,34,10,140368,high,VFH,5s
2,x_leads_y,-2.3989041815705735e-06,-4.770436259242255,1.8382735030947965e-06,0.050536582688214815,140422,34,10,140368,high,VFH,5s
3,x_leads_y,-1.6117822059770077e-06,-4.210462110220432,2.5484886455222525e-05,0.050536582688214815,140422,34,10,140368,high,VFH,5s
4,x_leads_y,-1.2032838636589982e-07,-0.3375932532515505,0.735669727121393,0.050536582688214815,140422,34,10,140368,high,VFH,5s
5,x_leads_y,3.893000687723657e-07,1.0933145971081997,0.274255696026816,0.050536582688214815,140422,34,10,140368,high,VFH,5s
6,x_leads_y,5.624780469526998e-07,1.4741902822502697,0.140430365592052,0.050536582688214815,140422,34,10,140368,high,VFH,5s
7,x_leads_y,1.2696279943488655e-08,0.02058802231582851,0.9835742952497084,0.050536582688214815,140422,34,10,140368,high,VFH,5s
8,x_leads_y,3.4737950153401627e-09,0.00869107892531117,0.9930656096069114,0.050536582688214815,140422,34,10,140368,high,VFH,5s
9,x_leads_y,-4.932713458856917e-09,-0.012367396310905132,0.9901324969700352,0.050536582688214815,140422,34,10,140368,high,VFH,5s
10,x_leads_y,-7.595759266821518e-07,-2.305058637050461,0.021163289634500284,0.050536582688214815,140422,34,10,140368,high,VFH,5s
