k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,etf,bar_freq
-7,y_leads_x,3.4830802966305826e-07,0.8235253083949905,0.4102093311406071,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-6,y_leads_x,-2.2150911239632784e-07,-0.4632339025385427,0.6431967177669502,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-5,y_leads_x,7.460421556472189e-08,0.14855027337859453,0.8819085136050531,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-4,y_leads_x,5.981760990108738e-07,2.0670945234471256,0.03872524805393813,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-3,y_leads_x,6.244495446620006e-07,1.7459228982842727,0.08082435034935041,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-2,y_leads_x,-4.810772779236966e-07,-0.7491282904782637,0.45377988507920874,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-1,y_leads_x,1.8613252228605233e-05,25.752507315653517,3.0215848899213017e-146,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
1,x_leads_y,1.8495335955234306e-05,25.380487289864142,4.1420765614567895e-142,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
2,x_leads_y,-4.3321498864471975e-07,-0.6448463640605361,0.5190267527773905,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
3,x_leads_y,4.763306429450336e-07,1.3544198129676035,0.1756024800646061,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
4,x_leads_y,7.516223301092963e-07,2.6092216020337062,0.009074845379114299,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
5,x_leads_y,2.24778087861488e-07,0.4270961938374853,0.6693092651093084,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
6,x_leads_y,-1.3101575370384387e-07,-0.3364050185614079,0.7365654655315901,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
7,x_leads_y,7.807964588723922e-08,0.18865442501576055,0.8503636736353092,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
8,x_leads_y,-6.787598790922754e-07,-1.5672255462520286,0.11706198122022272,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
9,x_leads_y,4.24293659541524e-07,0.9555917977926064,0.3392785070486636,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
10,x_leads_y,4.398445047857471e-07,1.1268095882117097,0.259822995740954,0.20246202851638873,54967,15,10,54932,high,0.0,0.0,VDC,5s
-10,y_leads_x,-1.167553190505655e-06,-1.5394793939763907,0.12368730466144963,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-9,y_leads_x,3.5146490192838203e-07,0.6982385980248952,0.48502799169109845,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-8,y_leads_x,-1.1492545780693954e-06,-1.7298685982979738,0.08365375481331452,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-7,y_leads_x,-1.9793342286360945e-06,-2.9144219250020895,0.0035634793088006704,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-6,y_leads_x,3.4899381759787554e-07,0.5621472115102315,0.5740157241265084,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-5,y_leads_x,-3.359268529687615e-07,-0.4347044312031954,0.6637769815644995,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-4,y_leads_x,-1.2793983225340403e-06,-3.6612093157323273,0.00025102756315078536,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-3,y_leads_x,-1.987464281312319e-06,-3.0238888735106695,0.0024954808409282697,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-2,y_leads_x,-2.020321065830108e-06,-4.321648616287821,1.54867684827482e-05,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-1,y_leads_x,1.607959899942612e-05,18.30178087984963,8.008768878409996e-75,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
1,x_leads_y,1.5981641654294325e-05,18.145145301820005,1.402636751640259e-73,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
2,x_leads_y,-1.9812519499603347e-06,-4.085876947255395,4.391064722016302e-05,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
3,x_leads_y,-2.232207814144206e-06,-2.787597194076112,0.0053100522912621195,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
4,x_leads_y,-1.02675388481402e-06,-2.6782371373116716,0.007401079910179683,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
5,x_leads_y,-4.3276920773985465e-07,-0.5199857768646986,0.6030734884429128,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
6,x_leads_y,4.3991735403586287e-07,0.768880437863306,0.4419642913973767,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
7,x_leads_y,-1.967830054183757e-06,-3.5312946778645347,0.0004135307719364415,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
8,x_leads_y,-1.4272774504791615e-06,-1.8833498277431406,0.059652974908242354,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
9,x_leads_y,4.798341489947069e-07,0.9454477668137282,0.34443032553695696,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
10,x_leads_y,-1.3673513054439273e-06,-1.7770475712257754,0.07556041321718794,0.04488312235982661,74234,16,10,74198,high,0.0,0.0,VNQ,5s
-10,y_leads_x,2.5158174961025434e-07,0.7396673817399892,0.4595018447976643,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-9,y_leads_x,-5.020707773937765e-07,-1.1202165308135525,0.26262150120254757,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-8,y_leads_x,2.1831787802755138e-07,0.4244165534556934,0.6712620504967082,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-7,y_leads_x,-2.2653385772648266e-07,-0.6243823534307228,0.532376511317753,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-6,y_leads_x,2.8639160735724723e-07,0.8237264043892606,0.41009503289191673,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-5,y_leads_x,2.4321889020958007e-07,0.5889158783637428,0.555917705628485,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-4,y_leads_x,-2.4705370165452217e-08,-0.06186973515313661,0.9506665691579869,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-3,y_leads_x,-4.6678317318901204e-07,-1.039336122085527,0.2986484408423067,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-2,y_leads_x,-1.8433789381771254e-06,-3.139332696982087,0.0016933307636118212,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-1,y_leads_x,1.675108786246189e-05,14.681099491783849,8.519768258839528e-49,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
1,x_leads_y,1.6801576404111667e-05,14.885834138121627,4.073738831910993e-50,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
2,x_leads_y,-1.922462364303816e-06,-3.1932156211548426,0.0014069784435674117,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
3,x_leads_y,-4.762245030212811e-07,-1.0528294447837583,0.29241916732353046,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
4,x_leads_y,-2.326690707552678e-07,-0.5935963742078565,0.5527821066920605,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
5,x_leads_y,2.8068481096147575e-07,0.640474400553029,0.5218642267774427,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
6,x_leads_y,2.1908919814896825e-07,0.6598256391049452,0.5093657279805607,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
7,x_leads_y,-1.4927846075297618e-07,-0.37646614015747654,0.7065703833661214,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
8,x_leads_y,-2.8933260528280852e-08,-0.0547758614428539,0.9563170313016948,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
9,x_leads_y,-3.844947351643215e-07,-0.7953340323258712,0.42641922201390914,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
10,x_leads_y,2.6347026027750706e-07,0.7205160538400239,0.47120731894378054,0.07659942814350285,70768,16,10,70732,high,0.0,9.121552348468188e-264,VOX,5s
-10,y_leads_x,6.833622181389455e-07,1.3272947945268254,0.1844111851263025,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-9,y_leads_x,-8.807970712984313e-07,-1.5116690510334572,0.13061807568547332,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-8,y_leads_x,1.0207927910446255e-07,0.1898770708174729,0.8494054604306223,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-7,y_leads_x,-2.6513428346857245e-07,-0.4185215482767148,0.6755658351551235,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-6,y_leads_x,7.688976008028112e-07,1.0724976103519823,0.2834965867050847,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-5,y_leads_x,1.146481045668751e-06,1.8396970898148217,0.06581272105549184,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-4,y_leads_x,-4.944243729144661e-07,-0.8126019971494073,0.4164462861552367,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-3,y_leads_x,5.358641168279708e-07,0.6246423445359075,0.5322058214573011,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-2,y_leads_x,-3.952869402460199e-06,-6.149470060443553,7.774225902086704e-10,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-1,y_leads_x,2.334030814680048e-05,32.54554457274913,2.4208823813908844e-232,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
1,x_leads_y,2.3332853602227062e-05,32.595152243171896,4.804042939704294e-233,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
2,x_leads_y,-3.959008186719669e-06,-6.268177039000112,3.652993274038725e-10,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
3,x_leads_y,5.903699931403418e-07,0.706313277817886,0.47999333802647903,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
4,x_leads_y,-4.84908910471998e-07,-0.813013509625402,0.4162103125961525,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
5,x_leads_y,1.1204366192404943e-06,1.7657763117998722,0.07743338414724645,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
6,x_leads_y,8.198145231994284e-07,1.0862238516117306,0.2773799672324423,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
7,x_leads_y,-2.7041744553441633e-07,-0.3941337667112812,0.6934822823013909,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
8,x_leads_y,2.585366456311578e-07,0.5162853222524137,0.6056551460768635,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
9,x_leads_y,-7.162687235734903e-07,-1.1793303060442013,0.2382666750183583,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
10,x_leads_y,5.01307525606852e-07,0.9935890522243207,0.32042297620857896,0.09550354335099076,74105,16,10,74069,high,0.0,0.0,VGT,5s
-10,y_leads_x,-1.9085628941899016e-07,-0.40747439588830364,0.683659595682558,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-9,y_leads_x,7.073556687140505e-07,1.91057613807515,0.056059073276640885,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-8,y_leads_x,-3.0397498392297613e-07,-0.5690674599357165,0.569310360148812,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-7,y_leads_x,-1.721345546357866e-07,-0.29870125169632933,0.7651680019167675,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-6,y_leads_x,2.9570629201953124e-07,0.8744002057099729,0.3819003454082027,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-5,y_leads_x,3.0512756243414994e-07,0.8542794235062945,0.3929501853699847,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-4,y_leads_x,-1.5228828898290138e-07,-0.31549733114451667,0.752384077111624,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-3,y_leads_x,-1.5890913233292742e-06,-2.9671885735635986,0.0030053657098312535,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-2,y_leads_x,-1.998738974834292e-06,-3.5426911034845427,0.00039606633524403364,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-1,y_leads_x,1.2980303328026292e-05,27.888572039819447,3.671262918197839e-171,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
1,x_leads_y,1.3012031706394556e-05,27.216021172492418,4.197643241533347e-163,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
2,x_leads_y,-2.015576082364258e-06,-3.299223349443444,0.0009695273844773864,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
3,x_leads_y,-1.8758638120004753e-06,-4.569393084627865,4.891386145333035e-06,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
4,x_leads_y,7.645776271633528e-08,0.2089219864228917,0.8345091402001724,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
5,x_leads_y,3.207977498679681e-07,0.7963923240654532,0.42580403835736824,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
6,x_leads_y,4.686328627957098e-07,1.2184597553147822,0.22304930928136002,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
7,x_leads_y,-3.995462964359391e-07,-0.6595112596681297,0.5095675180844177,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
8,x_leads_y,-1.8370854400164743e-07,-0.4439417799210192,0.6570846770132479,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
9,x_leads_y,3.949296330153072e-07,0.9832302161325929,0.32549414654218356,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
10,x_leads_y,-3.311087463174728e-07,-0.6524932160046224,0.5140830478251739,0.04429626795727393,115440,28,10,115392,high,1.990591421861312e-290,0.0,VFH,5s
-10,y_leads_x,-6.286881718930434e-07,-1.3946053005023962,0.16313489582197793,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-9,y_leads_x,1.2389427107146057e-06,2.584384583933319,0.009755294868993073,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-8,y_leads_x,2.128750943453301e-08,0.06563149292498172,0.9476712154310598,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-7,y_leads_x,1.3045878246141277e-06,3.6868908909751275,0.0002270106306358178,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-6,y_leads_x,6.378623024978561e-07,1.9636371132268082,0.0495721902304808,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-5,y_leads_x,1.2086842075540993e-06,2.3854198613567963,0.01705963878707907,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-4,y_leads_x,1.0513820503084621e-07,0.24783321605114916,0.8042634537895654,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-3,y_leads_x,6.419220040931011e-07,1.162706969951869,0.2449484127538767,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-2,y_leads_x,2.0427041827533563e-06,3.8442235304184633,0.0001209347371012212,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-1,y_leads_x,9.52573420093653e-06,8.68730333795735,3.7114414982621956e-18,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
1,x_leads_y,9.479362723779406e-06,8.569865284517293,1.0360617035092694e-17,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
2,x_leads_y,1.8630639452430777e-06,3.238890389873956,0.0011999567866189471,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
3,x_leads_y,6.087844162430428e-07,1.12689618505402,0.2597863765192632,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
4,x_leads_y,3.735291640566888e-07,0.720038283455861,0.47150142466308076,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
5,x_leads_y,1.172471000625016e-06,2.4628722820844815,0.013782900267815376,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
6,x_leads_y,5.431203240448101e-07,1.5781991987559638,0.11451985427742067,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
7,x_leads_y,1.015544123421156e-06,2.792353759030693,0.005232611434904618,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
8,x_leads_y,9.330438010896947e-08,0.21370915326516576,0.8307738729718633,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
9,x_leads_y,1.445069114055813e-06,2.928407568270012,0.0034070311668779043,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
10,x_leads_y,-4.985173524902221e-07,-1.1770889751443216,0.23915999502800844,0.04700244911434648,103437,28,10,103389,high,7.307495137686507e-54,9.327256507105211e-58,VIS,5s
-10,y_leads_x,-1.1892806185006394e-07,-0.1663870169487048,0.8678523905147809,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-9,y_leads_x,3.4886232418252123e-07,0.6815842405610072,0.4955018828026164,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-8,y_leads_x,3.038972549196847e-07,0.3943211298954463,0.6933439650596225,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-7,y_leads_x,-6.99088556590579e-07,-0.9222220181881563,0.3564127804076047,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-6,y_leads_x,2.1521148410090565e-07,0.4351208911391718,0.6634746802062221,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-5,y_leads_x,4.268684868642989e-07,1.147629271849379,0.2511216404366656,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-4,y_leads_x,4.056241587970353e-07,0.7471722717463036,0.45495957933994935,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-3,y_leads_x,-2.3617749578236105e-06,-3.7955205517322934,0.00014733398872206007,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-2,y_leads_x,-2.4608477189898375e-06,-3.316780504539315,0.0009106112598202879,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-1,y_leads_x,1.3813540899588484e-05,21.297382305399363,1.2004477093519512e-100,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
1,x_leads_y,1.3881569093145e-05,20.71552840675191,2.509374340739221e-95,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
2,x_leads_y,-2.4722718556984343e-06,-3.010441039920297,0.002608685895718007,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
3,x_leads_y,-2.264176830920145e-06,-4.220227563829827,2.4405583386999348e-05,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
4,x_leads_y,2.4695127414422503e-07,0.5220120125027641,0.6016619667960048,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
5,x_leads_y,7.358082410223228e-07,1.5918168226712948,0.11142586908959815,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
6,x_leads_y,4.177957491562087e-07,0.7551193158292184,0.4501773943883801,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
7,x_leads_y,-8.275901090604815e-07,-0.9998050876855872,0.3174048432034504,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
8,x_leads_y,-2.4336025844710405e-09,-0.003952885712981987,0.9968460617325371,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
9,x_leads_y,3.533708224993033e-07,0.6827064823832953,0.49479233273402146,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
10,x_leads_y,-3.6134671140991855e-07,-0.4730670058523032,0.6361653752289851,0.04412575482277681,70102,17,10,70065,high,1.5203434933150583e-188,1.7914495753109644e-215,VFH,5s
-10,y_leads_x,-4.6479027158170056e-07,-0.865730541026401,0.38663794751927416,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-9,y_leads_x,1.3490291525162407e-06,2.239727017152849,0.02510865048264369,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-8,y_leads_x,-2.5127817026098974e-07,-0.8545068335295622,0.39282422472764367,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-7,y_leads_x,1.5225412400178202e-06,3.455892223767017,0.0005484745768789337,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-6,y_leads_x,1.0377574316663808e-06,2.412377489506239,0.01584886277422771,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-5,y_leads_x,1.3619641192422807e-06,1.7363930732421118,0.08249435619746705,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-4,y_leads_x,-5.486251109123194e-07,-1.2505211247716201,0.21110924340579162,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-3,y_leads_x,1.0777291488653777e-06,1.299703345812281,0.1937026631985912,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-2,y_leads_x,2.586553935650435e-06,4.58909607303454,4.451695212610491e-06,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-1,y_leads_x,1.0368708959773303e-05,7.85431385328733,4.0196657467035476e-15,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
1,x_leads_y,1.0252577697433352e-05,7.5763809713519175,3.5532739681955056e-14,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
2,x_leads_y,2.373576897127617e-06,3.552467602918416,0.0003816360098922352,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
3,x_leads_y,1.011985231557659e-06,1.2789325318326208,0.20092081550407603,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
4,x_leads_y,-3.000186827225079e-08,-0.04461252325761012,0.9644161604832306,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
5,x_leads_y,1.2832822467397292e-06,1.773442573010761,0.07615539978722637,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
6,x_leads_y,8.846509732874289e-07,1.8064123717898086,0.07085395051537893,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
7,x_leads_y,1.047922840708238e-06,2.433149616997379,0.01496811444547472,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
8,x_leads_y,-9.204122754286465e-08,-0.28857059748634306,0.7729099984883546,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
9,x_leads_y,1.5962503772478407e-06,2.4732729309932755,0.013388185310313466,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
10,x_leads_y,-3.273167166211418e-08,-0.06561024059164565,0.9476881358699276,0.05347436287747909,63630,17,10,63593,high,3.942267012166121e-64,1.6034072937371792e-46,VIS,5s
-10,y_leads_x,9.542019859116995e-07,2.595650404019025,0.009441207191826364,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-9,y_leads_x,-6.661222646790354e-07,-1.253040731469281,0.21019088370271566,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-8,y_leads_x,4.2424149769706113e-07,0.7107724422996969,0.47722526019662515,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-7,y_leads_x,1.8780564704781533e-07,0.2996638570230023,0.7644335702172026,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-6,y_leads_x,6.51542791924495e-07,1.1250625314992388,0.2605625372770224,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-5,y_leads_x,1.422976862668837e-06,2.5420803591210257,0.01101948352602598,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-4,y_leads_x,1.4040241078064912e-07,0.2782883821238819,0.7807909937428242,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-3,y_leads_x,5.242416959643566e-07,1.1998869561798642,0.2301832464881849,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-2,y_leads_x,-2.3485325172265544e-06,-3.582107691060009,0.0003408332270295816,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
-1,y_leads_x,2.7540470709090904e-05,32.151164757490186,8.507204340289984e-227,0.18245464997629257,72262,17,10,72225,high,0.0,0.0,VCR,5s
