direction,cause_col,effect_col,k,coef,t_stat,p_value,p_granger,r_squared,n_obs,n_days,k_used,n_ylags,dof,cov_type,reliability_tier,x_ticker,y_ticker,bar_freq
x_to_y,chg_x,chg_y,1,0.03702096806891066,3.6486264603738143,0.00026364611714854914,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,2,-0.07007252740207792,-69.90047583263058,0.0,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,3,0.05970436321191485,2.8303963916861687,0.0046490365925470414,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,4,0.0018305774574493203,0.24434327244595766,0.8069649723257901,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,5,0.040940102234044685,2.0959159259663775,0.036089649684895204,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,6,0.029462510502898005,3.8634414679275912,0.00011180069156285872,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,7,0.022470888886291156,1.6719425980259526,0.09453564175907889,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,8,0.0026428783148560006,0.9229449151076371,0.356035912346251,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,9,0.057835926874552045,8.55924263748242,1.1361138322346485e-17,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,10,-0.042519111980046445,-6.6182861912239055,3.633870034396945e-11,0.006761564423203477,0.8767227432475849,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,1,0.004615668978777309,0.5605274247749631,0.5751197388406508,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,2,-0.02630424074899662,-4.949334531195438,7.446765666415452e-07,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,3,-0.049753639703283545,-2.236589045524509,0.02531321153953878,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,4,-0.003937438767641906,-0.18225439057487827,0.8553830901881913,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,5,0.0024886955008244773,0.16909426241209272,0.865722497877831,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,6,-0.00897478748887078,-4.4641437013598955,8.038959992062305e-06,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,7,-0.005319212216030251,-1.8619438741011904,0.06261100188154553,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,8,-0.003509684438808898,-0.5592455560007996,0.5759941462682069,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,9,-0.047206864396458895,-2.7960155066992134,0.005173691800490895,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
y_to_x,chg_y,chg_x,10,-0.03914783020499963,-0.8446416851683523,0.39831092749667774,0.32721916831480496,0.28886124963809046,29,2,10,0,17,cluster_by_day,medium,KXECKH276,KXECDJT312,600s
x_to_y,chg_x,chg_y,1,-0.012387384600019074,-4.747234050379647,2.0621727510522122e-06,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,2,-0.029923207103541412,-46.189154525619685,0.0,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,3,-0.05359028245688762,-1.4329567992055794,0.15187018359285154,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,4,-0.10677177898160271,-1.5182342134672042,0.1289553653569077,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,5,0.033592811660264676,2.717748498895548,0.0065727778068832825,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,6,-0.00973334325981172,-0.6446811628352083,0.5191338259834881,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,7,-0.05931757081262178,-1.7825541597944154,0.07465890748464855,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,8,-0.03526604399620161,-4.502621651973363,6.712031150843929e-06,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,9,0.011221710216091802,0.43732250630813235,0.6618774754767422,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
