k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,ticker,bar_freq
-9,y_leads_x,-0.001192443318037354,-5.8945202743302625,3.757714605898322e-09,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-8,y_leads_x,-0.001966608560677787,-7.709545862580823,1.2626624143137517e-14,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-7,y_leads_x,-0.0031261820833729894,-13.099209728623178,3.327037640972403e-39,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-6,y_leads_x,-0.003990052811051154,-11.547152985232497,7.630645594281492e-31,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-5,y_leads_x,-0.0048358285673436125,-13.883978087747073,7.922219447809568e-44,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-4,y_leads_x,-0.005806002932512876,-34.853304718718874,3.79410668616977e-266,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-3,y_leads_x,-0.006610014228949046,-39.54383265394061,0.0,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-2,y_leads_x,-0.007550236200993,-30.85776454553648,4.407205648655808e-209,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-1,y_leads_x,-0.008179032473753898,-39.70279999152588,0.0,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
1,x_leads_y,-0.008306436725818848,-50.67040410862857,0.0,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
2,x_leads_y,-0.008423029774772961,-34.6956367591222,9.167138676386704e-264,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
3,x_leads_y,-0.008481717545711384,-26.28010825464205,3.237633986903099e-152,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
4,x_leads_y,-0.007905226737265935,-14.397252820906838,5.384145881525972e-47,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
5,x_leads_y,-0.007008748348282373,-9.505520219464803,1.9905058700806206e-21,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
6,x_leads_y,-0.0062244656808579085,-8.218821839547662,2.055120767824622e-16,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
