group,etf,mode,spec,direction,K,n_ylags,wald_chi2,wald_df,p_value,n_obs,n_days,n_members,n_active,cov_type
ELECTION_trump_fav,VNQ,calendar,probit,kalshi->etf,6,0,1.7091833456742034,6,0.944410097437946,126,4,6,90,hac-panel
ELECTION_trump_fav,VNQ,event,probit,kalshi->etf,6,0,11.082112794944639,6,0.08587154859330737,152,4,6,102,hac-panel
ELECTION_trump_fav,VOX,calendar,linear,kalshi->etf,6,2,8.636932524131643,6,0.1950496749790739,1258,22,6,137,hac-panel
ELECTION_trump_fav,VOX,calendar,linear,etf->kalshi,6,5,8.87471726211401,6,0.18074744783038316,1258,22,6,1234,hac-panel
ELECTION_trump_fav,VOX,event,linear,kalshi->etf,6,0,26.638548231174894,6,0.00016921454491151678,159,5,6,102,hac-panel
ELECTION_trump_fav,VOX,event,linear,etf->kalshi,6,5,6.7886168593408,6,0.3408390643637298,159,5,6,157,hac-panel
ELECTION_trump_fav,VOX,calendar,probit,kalshi->etf,6,0,10.502749115400672,6,0.10501499082820867,127,4,6,90,hac-panel
ELECTION_trump_fav,VOX,event,probit,kalshi->etf,6,0,18.96076166880636,6,0.0042304162404124945,155,5,6,102,hac-panel
FOMC_easing,VCR,calendar,linear,kalshi->etf,10,6,11.697671492797133,10,0.30579966905292455,3003,75,5,654,hac-panel
FOMC_easing,VCR,calendar,linear,etf->kalshi,10,5,13.12373959549471,10,0.21683547464601877,3003,75,5,2949,hac-panel
FOMC_easing,VCR,event,linear,kalshi->etf,10,1,8.276848329193463,10,0.6018146572380485,1002,43,4,618,hac-panel
FOMC_easing,VCR,event,linear,etf->kalshi,10,6,5.703336627365698,10,0.8395413916848267,1002,43,4,993,hac-panel
FOMC_easing,VCR,calendar,probit,kalshi->etf,10,0,24.56966958143666,10,0.00622369603209909,550,38,4,375,hac-panel
FOMC_easing,VCR,event,probit,kalshi->etf,10,1,13.131333393976641,10,0.21642126284258326,990,43,4,626,hac-panel
FOMC_easing,VDC,calendar,linear,kalshi->etf,10,1,10.32580423066123,10,0.41238931563133374,3003,75,5,654,hac-panel
FOMC_easing,VDC,calendar,linear,etf->kalshi,10,5,12.584456539801817,10,0.2478417900427315,3003,75,5,2933,hac-panel
FOMC_easing,VDC,event,linear,kalshi->etf,10,1,16.812784946310096,10,0.0786105859208921,1002,43,4,618,hac-panel
FOMC_easing,VDC,event,linear,etf->kalshi,10,6,11.353975009006904,10,0.33061308746947793,1002,43,4,983,hac-panel
FOMC_easing,VDC,calendar,probit,kalshi->etf,10,1,21.142642610552628,10,0.02012057653187133,546,38,4,374,hac-panel
FOMC_easing,VDC,event,probit,kalshi->etf,10,1,10.963156618786483,10,0.36039564942639835,977,41,4,616,hac-panel
FOMC_easing,VDE,calendar,linear,kalshi->etf,10,1,15.559533447221888,10,0.11295466660438205,3003,75,5,654,hac-panel
FOMC_easing,VDE,calendar,linear,etf->kalshi,10,5,5.761488840436119,10,0.8348879725511471,3003,75,5,2905,hac-panel
FOMC_easing,VDE,event,linear,kalshi->etf,10,0,13.219979737741768,10,0.2116312860421039,1002,43,4,618,hac-panel
FOMC_easing,VDE,event,linear,etf->kalshi,10,6,7.728264026288989,10,0.6553602747457582,1002,43,4,976,hac-panel
FOMC_easing,VDE,calendar,probit,kalshi->etf,10,1,6.302530041009396,10,0.7892378600716747,539,38,4,367,hac-panel
FOMC_easing,VDE,event,probit,kalshi->etf,10,0,9.271653715727163,10,0.5065314152414173,966,41,4,610,hac-panel
FOMC_easing,VFH,calendar,linear,kalshi->etf,10,5,8.91464868500107,10,0.5402224865117967,3003,75,5,654,hac-panel
FOMC_easing,VFH,calendar,linear,etf->kalshi,10,5,6.022125403884483,10,0.8134009489944325,3003,75,5,2896,hac-panel
FOMC_easing,VFH,event,linear,kalshi->etf,10,1,27.65645886281655,10,0.0020484673332983026,1002,43,4,618,hac-panel
FOMC_easing,VFH,event,linear,etf->kalshi,10,6,10.12954408073512,10,0.42920245556345293,1002,43,4,963,hac-panel
FOMC_easing,VFH,calendar,probit,kalshi->etf,10,0,18.509000880915384,10,0.04696094809525102,527,38,4,359,hac-panel
FOMC_easing,VFH,event,probit,kalshi->etf,10,1,20.99237462178912,10,0.021146800662331825,951,42,4,604,hac-panel
FOMC_easing,VGT,calendar,linear,kalshi->etf,10,6,6.23796188754216,10,0.7948901262365857,3007,75,5,654,hac-panel
FOMC_easing,VGT,calendar,linear,etf->kalshi,10,5,20.60159195444874,10,0.024049512158744724,3007,75,5,2969,hac-panel
FOMC_easing,VGT,event,linear,kalshi->etf,10,1,7.378882596056695,10,0.6892570095768373,1002,43,4,618,hac-panel
FOMC_easing,VGT,event,linear,etf->kalshi,10,6,9.890331874170116,10,0.45016704425782605,1002,43,4,1001,hac-panel
FOMC_easing,VGT,calendar,probit,kalshi->etf,10,0,20.340141302064183,10,0.02619479305788402,553,39,4,377,hac-panel
FOMC_easing,VGT,event,probit,kalshi->etf,10,0,10.390141003302778,10,0.4069569363050647,1001,43,4,630,hac-panel
FOMC_easing,VIS,calendar,linear,kalshi->etf,10,6,6.214600425807528,10,0.7969226382065419,3003,75,5,654,hac-panel
FOMC_easing,VIS,calendar,linear,etf->kalshi,10,5,11.594128246564036,10,0.31313765321760156,3003,75,5,2936,hac-panel
FOMC_easing,VIS,event,linear,kalshi->etf,10,1,18.372000826103335,10,0.049003484053439045,1002,43,4,618,hac-panel
FOMC_easing,VIS,event,linear,etf->kalshi,10,6,4.792865108567978,10,0.9045782654271608,1002,43,4,988,hac-panel
FOMC_easing,VIS,calendar,probit,kalshi->etf,10,0,12.512856595104635,10,0.252197259182627,544,39,4,375,hac-panel
FOMC_easing,VIS,event,probit,kalshi->etf,10,0,8.211277639119832,10,0.6082080832763299,981,42,4,618,hac-panel
FOMC_easing,VNQ,calendar,linear,kalshi->etf,10,6,10.160632184444893,10,0.4265153920776608,3007,75,5,654,hac-panel
FOMC_easing,VNQ,calendar,linear,etf->kalshi,10,5,9.947832624405402,10,0.445081996440136,3007,75,5,2885,hac-panel
FOMC_easing,VNQ,event,linear,kalshi->etf,10,1,28.762080526310537,10,0.0013614460836265628,1002,43,4,618,hac-panel
FOMC_easing,VNQ,event,linear,etf->kalshi,10,6,15.853204514636348,10,0.1039124054835416,1002,43,4,952,hac-panel
FOMC_easing,VNQ,calendar,probit,kalshi->etf,10,0,27.392860727827717,10,0.002256301304432914,529,39,4,364,hac-panel
FOMC_easing,VNQ,event,probit,kalshi->etf,10,1,24.248270553694933,10,0.006967981026150999,946,42,4,591,hac-panel
FOMC_easing,VOX,calendar,linear,kalshi->etf,10,5,11.651300928479627,10,0.3090711893480445,3003,75,5,654,hac-panel
FOMC_easing,VOX,calendar,linear,etf->kalshi,10,5,11.076488305060625,10,0.3515900041642136,3003,75,5,2909,hac-panel
