contract_ticker,etf,k,direction,coef,t_stat,p_value,r_squared,n_obs,n_kalshi_trades,w_sec,mean_w_sec,r2_daily_screen,contract_title
KXECKH276,VFH,-10,etf_leads_kalshi,6.069443166343342e-05,0.9793738341881584,0.3273953008192012,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-9,etf_leads_kalshi,7.636855667044653e-05,1.6487178802940228,0.0992054453163723,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-8,etf_leads_kalshi,6.231691961093058e-05,2.274797067019164,0.0229181062701528,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-7,etf_leads_kalshi,0.0001951215421865,13.471142802638536,2.3125870999164276e-41,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-6,etf_leads_kalshi,0.0003568534914007,25.02592236250284,3.193296881125965e-138,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-5,etf_leads_kalshi,0.0004343040235848,26.895361518652905,2.4884780416559366e-159,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-4,etf_leads_kalshi,0.0005028827613712,21.483150467640417,2.2380100114970194e-102,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-3,etf_leads_kalshi,0.0005014195807801,6.991113354375555,2.727132992801088e-12,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-2,etf_leads_kalshi,0.000365905107305,10.890840491986763,1.2745848216377373e-27,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-1,etf_leads_kalshi,0.0002198294233985,2.1479502738079677,0.0317177059599369,0.7409793908301153,39,136,300,223.65882015384616,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
