contract_ticker,etf,direction,horizon_sec,n_kalshi_trades,n_events,coef,t_stat,p_value,r_squared,r2_daily_screen,contract_title
KXECKH276,VFH,kalshi_leads_etf,5,136,43,0.00011243526017629514,0.2946467581619342,0.7697505206801867,0.002113006532087458,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,5,136,43,-52.273328262227885,-0.955320946314674,0.3450144979149833,0.02177477132463368,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,10,136,43,0.0006290317756925203,0.6818660948620496,0.49915765286920866,0.011212879023723366,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,10,136,43,-0.2975522400554773,-0.0073656814455480436,0.9941588131830154,1.323248569717883e-06,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,15,136,43,0.0007317412833114287,0.7027679109993732,0.4861717290417116,0.011902543318590308,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,15,136,43,14.839032540608352,0.5902391061643835,0.5582697609578429,0.008425534056931472,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,20,136,43,0.0005058668135634365,0.3957997991155092,0.6943049078318977,0.003806370355810995,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,20,136,43,9.689678409199068,0.4442760790147737,0.6591792593547605,0.004791111193737652,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,25,136,43,0.001151948578786449,0.7646078109993413,0.4488837146727612,0.014058684024926937,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,25,136,43,-23.926165762244924,-1.1056923085282255,0.27530576925972666,0.028955032854053764,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,30,136,43,0.0007394457229789624,0.45661091422985983,0.6503606316592967,0.005059479470106321,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,30,136,43,-24.12785760317712,-1.3911769923873578,0.1716754258479953,0.045076431618024104,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,35,136,43,0.0007541653350380891,0.4604634028685791,0.6476166405496637,0.005144773580785245,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,35,136,43,-29.156769480577182,-1.7216147915205322,0.09267747159818453,0.06741789546654631,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,40,136,43,0.00044357181890124437,0.2679426357424733,0.7900869247232534,0.001747994191562241,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,40,136,43,-29.653032150851367,-1.7264870306855151,0.09178886595272034,0.06777412756825152,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,45,136,43,-0.00012033745726844073,-0.0708673021862793,0.9438479204223849,0.00012247705897527883,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,45,136,43,-25.84390577422161,-1.3692892048240473,0.1783632966742257,0.04373072851331561,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,50,136,43,0.00036394148420001364,0.1992045394376997,0.8430873847773137,0.0009669287422570116,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,50,136,43,-26.854754670908367,-1.5545046987235338,0.12775021593643976,0.055658233646444066,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,55,136,43,0.00011803153108203392,0.05467187596905923,0.9566654207591486,7.289746659544516e-05,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,55,136,43,-22.062280205999425,-1.5004575298703182,0.14115811003267362,0.052053210181561504,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,60,136,43,0.0005457709065346171,0.2096104487092367,0.8350098132986709,0.0010704757855046765,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,60,136,43,-16.53740922650877,-1.3794330144535267,0.1752392348322336,0.044352207069506155,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,65,136,43,0.00052504762747846,0.1906939887235034,0.8497064775192092,0.0008861456916700039,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,65,136,43,-16.151540526007352,-1.3882476516588094,0.1725590514993589,0.04489531407203606,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,70,136,43,0.000605080315509563,0.2371695889770951,0.8137063274755955,0.0013700572930676058,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,70,136,43,-12.37713148332757,-1.2180956973484327,0.23015111532155302,0.0349252803473068,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,75,136,43,0.0006788255497281024,0.2585789717153649,0.797253848684788,0.0016281517406290247,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,75,136,43,-15.034750660767116,-1.3918676913930381,0.17146759129467198,0.04511918228892653,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,80,136,43,0.0005593407660634195,0.20161945104270068,0.8412112533488041,0.0009904911993244836,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,80,136,43,-15.687878014318505,-1.4949671560744588,0.14258074551835948,0.05169262360953297,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,85,136,43,0.0009001984693522172,0.3325874009545516,0.7411403351613832,0.0026906525466443565,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,85,136,43,-14.155008943486376,-1.453233843381111,0.15377054595046294,0.0489862233354913,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,90,136,43,0.000836028220319124,0.2774287090621109,0.7828450372262471,0.0018737188944679684,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,90,136,43,-14.881812983538044,-1.5679256886987274,0.12458499820806124,0.05656884460460965,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,95,136,43,0.001250938090599575,0.42326371049907413,0.6743149512267851,0.004350555054942085,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,95,136,43,-12.009889302274368,-1.3421250295349365,0.1869407981383961,0.04208516124399675,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,100,136,43,0.001719781687849439,0.5655825849635518,0.5747599578810547,0.007741639909807252,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,100,136,43,-12.37341235124041,-1.385122714140389,0.17350556189930894,0.04470244837432291,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,105,136,43,0.0007890723051972943,0.2740650412012539,0.7854107437229869,0.0018286413304124949,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,105,136,43,-11.113038896389753,-1.3367002697476562,0.18869099946487733,0.04175981760019898,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,110,136,43,0.0003019197275461735,0.09750892538109203,0.9227973751050743,0.00023184844185808462,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,110,136,43,-10.910014551915165,-1.3209007065447729,0.19385983013593386,0.040818521713569145,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,115,136,43,0.0003639414398398917,0.11174033705864309,0.9115745589692832,0.000304441504851205,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,115,136,43,-9.788466308840658,-1.2621596010671638,0.21402402134812085,0.03740157082107487,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,120,136,43,0.00024181856547292975,0.07754826387686077,0.9385646179231553,0.00014665490943421844,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,120,136,43,-10.012009769720844,-1.2732032229239392,0.21011774826636193,0.03803394289919371,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
