k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_ticker,y_ticker
2,x_leads_y,-0.016011347832238638,-1.8503753961455913,0.06425946262379136,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
3,x_leads_y,0.05219898724987619,5.824868603601781,5.715755166498513e-09,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
4,x_leads_y,-0.010287037959477259,-7.524388223841782,5.2967743988154884e-14,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
5,x_leads_y,0.001312905305083517,0.6743684837664982,0.50007707441259,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
6,x_leads_y,-0.02342743235055645,-2.3602888968897657,0.01826070811764847,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
7,x_leads_y,-0.02561265899255417,-3.076088537850587,0.0020973555610830186,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
8,x_leads_y,-0.030476048623877754,-28.14039519581231,3.141275702335794e-174,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
9,x_leads_y,-0.01236450764016139,-2.9073638418251844,0.0036448898089448075,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
10,x_leads_y,0.004034818360635519,0.49593982910900375,0.6199368642291231,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-10,y_leads_x,-0.03322794626879926,-4.672822669720503,2.9708825888842683e-06,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-9,y_leads_x,-0.03194521153558739,-10.690648648632312,1.1258083770671874e-26,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-8,y_leads_x,-0.032901125682899976,-64.15764984715328,0.0,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-7,y_leads_x,-0.01982426909875908,-5.257252326044075,1.46223624207124e-07,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-6,y_leads_x,-0.015261224447613284,-10.477213417365201,1.099352801375559e-25,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-5,y_leads_x,0.0034425110584229623,1.2679771806297024,0.20480609977308284,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-4,y_leads_x,-0.0022638893198461494,-1.350493850040137,0.17685762505020475,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-3,y_leads_x,0.004040027544465096,3.6951844525326383,0.00021972721410456705,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-2,y_leads_x,-0.010499359956348474,-39.91875006154179,0.0,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
-1,y_leads_x,0.030990292819651526,15.81634243047799,2.400381945519248e-56,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
0,contemporaneous,0.04896466104097703,33.14445100581084,6.808121813353426e-241,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
1,x_leads_y,0.04637415082722268,322.2934598699689,0.0,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
2,x_leads_y,0.023856056966068455,597.0146380752466,0.0,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
3,x_leads_y,0.01658936050348954,5.210862965982998,1.879642537418613e-07,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
4,x_leads_y,-0.003493378384664924,-2.1194843065219513,0.03404955864763831,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
5,x_leads_y,-0.020192667082678226,-5.23784675785008,1.6246086616386943e-07,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
6,x_leads_y,-0.061792695659446534,-13.440986882444935,3.477674561879612e-41,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
7,x_leads_y,-0.047209937887627694,-57.59791013820301,0.0,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
8,x_leads_y,-0.05084726795045474,-27.969735981047457,3.793852286179016e-172,0.2821622191008384,107,2,,KXECDJT312,KXECDJT316
