contract_ticker,etf,direction,horizon_sec,n_events,coef,t_stat,p_value,r_squared,r2_daily_screen,contract_title
KXECKH276,VFH,kalshi_leads_etf,5,43,0.00011243526017629514,0.2946467581619342,0.7697505206801867,0.002113006532087458,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,5,43,-52.273328262227885,-0.955320946314674,0.3450144979149833,0.02177477132463368,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,10,43,0.0006290317756925203,0.6818660948620496,0.49915765286920866,0.011212879023723366,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,10,43,-0.2975522400554773,-0.0073656814455480436,0.9941588131830154,1.323248569717883e-06,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,30,43,0.0007394457229789624,0.45661091422985983,0.6503606316592967,0.005059479470106321,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,30,43,-24.12785760317712,-1.3911769923873578,0.1716754258479953,0.045076431618024104,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,60,43,0.0005457709065346171,0.2096104487092367,0.8350098132986709,0.0010704757855046765,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,60,43,-16.53740922650877,-1.3794330144535267,0.1752392348322336,0.044352207069506155,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,120,43,0.00024181856547292975,0.07754826387686077,0.9385646179231553,0.00014665490943421844,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,120,43,-10.012009769720844,-1.2732032229239392,0.21011774826636193,0.03803394289919371,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,kalshi_leads_etf,300,42,0.0006519787440404539,0.14905267525867769,0.8822610246518219,0.0005551091826898613,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,etf_leads_kalshi,300,43,-3.280479882042544,-0.6085294682281894,0.546193196835367,0.008951060086000107,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VFH,kalshi_leads_etf,5,59,0.0004348890068987525,1.0767416158180774,0.2861319106493755,0.0199344053633026,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,etf_leads_kalshi,5,59,21.388626932548767,0.4439127166067754,0.6587863715535642,0.00344525584240174,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,kalshi_leads_etf,10,59,-5.681493391502164e-05,-0.0993099449015688,0.921240630615075,0.00017299577178242487,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,etf_leads_kalshi,10,59,10.685754745262,0.3536968415061582,0.7248710291471552,0.0021899559476225017,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,kalshi_leads_etf,30,59,-0.0003015870817160334,-0.32665547170208964,0.7451249485345179,0.0018684986192140096,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,etf_leads_kalshi,30,59,-3.812628367495371,-0.22410019987300195,0.8234806711420242,0.000880292815544248,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,kalshi_leads_etf,60,59,0.0003092806373987889,0.20278583885386287,0.840024552406079,0.0007209201875469917,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,etf_leads_kalshi,60,59,5.5794758044781885,0.4514369396623141,0.6533876454030833,0.003562618693139452,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,kalshi_leads_etf,120,58,-0.0008834164635730453,-0.5041095004569571,0.6161620934900072,0.004517471068631429,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,etf_leads_kalshi,120,59,3.017540089228998,0.37119189348689374,0.7118707419479331,0.0024114239919540426,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,kalshi_leads_etf,300,58,0.002524328637078483,0.7291294604020823,0.4689610999689048,0.009404111860721542,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,etf_leads_kalshi,300,59,5.292086782987263,0.8317602085111026,0.40901538042723207,0.011991734425618295,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECKH276,VIS,kalshi_leads_etf,5,43,0.0005247702218531071,2.0002616805896194,0.052124989278071854,0.08891008267945588,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,etf_leads_kalshi,5,43,18.804459292134148,0.2590592558959198,0.7968858030029679,0.0016341957174580424,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,kalshi_leads_etf,10,43,0.0006199155093561149,1.130881357565442,0.2646769416157183,0.030248962659235157,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
