k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_etf,y_etf
2,x_leads_y,1.9952050751031884e-06,2.047998093875698,0.04056018616861316,0.2230748389125139,822853,75,,VFH,VCR
3,x_leads_y,1.0785744505366572e-06,1.3881041000931256,0.1651053482645385,0.2230748389125139,822853,75,,VFH,VCR
4,x_leads_y,9.488268856687028e-07,1.9169251565773566,0.05524744060545306,0.2230748389125139,822853,75,,VFH,VCR
5,x_leads_y,8.484561646584239e-07,1.4112227359819167,0.15817894822730516,0.2230748389125139,822853,75,,VFH,VCR
6,x_leads_y,7.693783127506277e-07,4.267588056060159,1.9759778301880367e-05,0.2230748389125139,822853,75,,VFH,VCR
7,x_leads_y,6.834074149642551e-07,3.4096263876300883,0.0006505192829878663,0.2230748389125139,822853,75,,VFH,VCR
8,x_leads_y,4.4086489819232817e-07,2.2477833685848005,0.024590006887763586,0.2230748389125139,822853,75,,VFH,VCR
9,x_leads_y,4.520772470421227e-07,1.8196649699756626,0.06881004101467972,0.2230748389125139,822853,75,,VFH,VCR
10,x_leads_y,1.1303054923383515e-07,0.4927095781851771,0.6222178088900323,0.2230748389125139,822853,75,,VFH,VCR
-10,y_leads_x,1.514401461082048e-07,1.2620603845094616,0.20692705882490825,0.18936192393141238,956104,75,,VHT,VFH
-9,y_leads_x,1.3236000063028796e-07,0.884780856819082,0.37627483612690826,0.18936192393141238,956104,75,,VHT,VFH
-8,y_leads_x,9.509786550934114e-08,0.8529209354544914,0.3937031510333442,0.18936192393141238,956104,75,,VHT,VFH
-7,y_leads_x,3.545322043541884e-07,2.5297841192561776,0.011413272628459616,0.18936192393141238,956104,75,,VHT,VFH
-6,y_leads_x,2.1190565174653545e-07,1.229579505853612,0.21885460836893034,0.18936192393141238,956104,75,,VHT,VFH
-5,y_leads_x,3.4057251869787745e-07,1.5838247062999307,0.11323361534736592,0.18936192393141238,956104,75,,VHT,VFH
-4,y_leads_x,6.645238261594232e-07,3.5371160702961775,0.0004045218463227411,0.18936192393141238,956104,75,,VHT,VFH
-3,y_leads_x,1.1842704423945416e-06,3.183746649019199,0.0014538219576288878,0.18936192393141238,956104,75,,VHT,VFH
-2,y_leads_x,2.260079620879503e-06,4.359757396304471,1.3020671699439394e-05,0.18936192393141238,956104,75,,VHT,VFH
-1,y_leads_x,5.9458522164775695e-06,5.308150738644307,1.1074304196477453e-07,0.18936192393141238,956104,75,,VHT,VFH
0,contemporaneous,4.1073870663771e-05,2.987352064007828,0.002814054508157819,0.18936192393141238,956104,75,,VHT,VFH
1,x_leads_y,6.137277898819626e-06,5.7452000192693395,9.181239076575252e-09,0.18936192393141238,956104,75,,VHT,VFH
2,x_leads_y,2.069858896763492e-06,7.428301797686216,1.1000075251338203e-13,0.18936192393141238,956104,75,,VHT,VFH
3,x_leads_y,4.830231395745479e-07,2.5489541374962057,0.010804650818598516,0.18936192393141238,956104,75,,VHT,VFH
4,x_leads_y,5.60168844900187e-07,3.1572232611099773,0.001592793435363687,0.18936192393141238,956104,75,,VHT,VFH
5,x_leads_y,5.446234087141254e-07,2.2414242472912913,0.024998607348342996,0.18936192393141238,956104,75,,VHT,VFH
6,x_leads_y,2.1722745179680647e-07,1.3987232376219014,0.16189599306108293,0.18936192393141238,956104,75,,VHT,VFH
7,x_leads_y,1.7800969887990114e-07,1.4949584674840264,0.134925281717751,0.18936192393141238,956104,75,,VHT,VFH
8,x_leads_y,2.4220041301727725e-08,0.2268598397353094,0.8205327311258098,0.18936192393141238,956104,75,,VHT,VFH
9,x_leads_y,-1.6956289975001152e-07,-1.4188394891997296,0.1559458170021822,0.18936192393141238,956104,75,,VHT,VFH
10,x_leads_y,-2.2919161424753966e-09,-0.0101554799248349,0.991897238638728,0.18936192393141238,956104,75,,VHT,VFH
