Date,BTC-USD,COIN,CXW,DJT,FXI,GEO,HOOD,ICLN,MSTR,RGR,TAN,XLF
2024-04-09,69139.015625,242.9499969482422,15.970000267028809,37.470001220703125,23.383132934570312,15.920000076293945,18.299999237060547,13.681069374084473,144.1020050048828,45.66217041015625,45.29606246948242,40.11139678955078
2024-04-10,70587.8828125,250.99000549316406,15.710000038146973,34.2599983215332,23.269020080566406,15.59000015258789,18.34000015258789,13.305322647094727,156.60000610351562,45.100826263427734,43.75368881225586,39.512290954589844
2024-04-11,70060.609375,263.010009765625,15.720000267028809,32.40999984741211,23.48773193359375,15.680000305175781,19.0,13.37276554107666,155.18099975585938,45.265357971191406,43.46511459350586,39.2320556640625
2024-04-12,67195.8671875,245.75,15.380000114440918,32.59000015258789,22.669940948486328,15.369999885559082,17.969999313354492,13.035554885864258,147.95799255371094,44.249141693115234,41.78343200683594,38.71024703979492
2024-04-13,63821.47265625,,,,,,,,,,,
2024-04-14,65738.7265625,,,,,,,,,,,
2024-04-15,63426.2109375,223.41000366210938,15.199999809265137,26.610000610351562,22.746015548706055,15.199999809265137,17.190000534057617,12.746517181396484,133.58799743652344,44.02653884887695,40.400264739990234,38.51698684692383
2024-04-16,63811.86328125,218.8300018310547,15.119999885559082,22.84000015258789,22.508285522460938,15.180000305175781,17.309999465942383,12.582730293273926,125.40299987792969,43.98782730102539,39.544498443603516,38.25609588623047
2024-04-17,61276.69140625,213.77999877929688,14.869999885559082,26.399999618530273,22.48926544189453,14.989999771118164,17.079999923706055,12.68871021270752,118.80500030517578,44.15235137939453,39.90272521972656,38.352718353271484
2024-04-18,63512.75390625,218.0800018310547,14.699999809265137,33.189998626708984,22.898162841796875,14.770000457763672,17.079999923706055,12.621270179748535,120.81600189208984,44.63627243041992,39.504695892333984,38.487998962402344
2024-04-19,63843.5703125,211.00999450683594,14.729999542236328,36.380001068115234,22.83159828186035,14.569999694824219,16.6299991607666,12.544193267822266,117.41100311279297,45.24599838256836,39.39523696899414,39.01947021484375
2024-04-20,64994.44140625,,,,,,,,,,,
2024-04-21,64926.64453125,,,,,,,,,,,
2024-04-22,66837.6796875,225.86000061035156,14.9399995803833,35.5,23.22147560119629,14.859999656677246,17.190000534057617,12.650172233581543,132.4010009765625,45.24599838256836,39.75346374511719,39.492958068847656
2024-04-23,66407.2734375,236.42999267578125,15.130000114440918,32.56999969482422,23.582820892333984,14.989999771118164,17.6200008392334,12.775423049926758,133.86399841308594,45.381492614746094,40.300758361816406,39.744205474853516
2024-04-24,64276.8984375,224.3699951171875,15.119999885559082,35.66999816894531,24.029756546020508,15.069999694824219,17.309999465942383,12.659808158874512,126.56700134277344,44.92661666870117,40.1116943359375,39.73453903198242
2024-04-25,64481.70703125,223.61000061035156,14.970000267028809,38.4900016784668,24.19141387939453,14.789999961853027,17.1200008392334,12.60200023651123,124.04100036621094,44.74272918701172,39.59425354003906,39.502620697021484
2024-04-26,63755.3203125,236.32000732421875,15.0600004196167,41.540000915527344,24.600311279296875,14.869999885559082,17.8799991607666,12.746517181396484,128.23800659179688,44.975013732910156,40.56943130493164,39.444644927978516
2024-04-27,63419.140625,,,,,,,,,,,
2024-04-28,63113.23046875,,,,,,,,,,,
2024-04-29,63841.12109375,218.16000366210938,15.100000381469727,46.689998626708984,24.828529357910156,15.029999732971191,17.34000015258789,12.939209938049316,129.2969970703125,44.771766662597656,41.41524887084961,39.38666534423828
2024-04-30,60636.85546875,203.92999267578125,14.899999618530273,49.93000030517578,24.23895835876465,14.859999656677246,16.489999771118164,12.746517181396484,106.50299835205078,44.74272918701172,40.131595611572266,39.000144958496094
