k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,K_chosen,n_active_events,n_members,p_fdr
5,kalshi_leads_etf,-8.211701926929697e-05,-0.9792950834662764,0.32743419902400817,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.39192085094677936
6,kalshi_leads_etf,-0.00018123594944207443,-1.9806840931578729,0.04762671171928637,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.08996156658087424
7,kalshi_leads_etf,0.0001900487904675773,3.0819215825333486,0.0020566901054392965,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.004994818827495435
8,kalshi_leads_etf,7.962108563149119e-05,1.0101656313104832,0.3124159423555113,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.39192085094677936
-8,etf_leads_kalshi,-0.00012336800535835837,-0.6688736787569963,0.5035760618412412,0.516446603169473,65,2,4,23,44,2,ELECTION_trump_fav,VDC,event,8,289,6,0.7714183271838433
-7,etf_leads_kalshi,-0.00010114828021360068,-3.085333392186371,0.002033241016254566,0.516446603169473,65,2,4,23,44,2,ELECTION_trump_fav,VDC,event,8,289,6,0.01728254863816381
-6,etf_leads_kalshi,-6.856656721006081e-05,-0.35382238584389886,0.7234719958662132,0.516446603169473,65,2,4,23,44,2,ELECTION_trump_fav,VDC,event,8,289,6,0.8785017092661161
-5,etf_leads_kalshi,-2.5961828160525516e-05,-0.2418349256806076,0.8089080752145625,0.516446603169473,65,2,4,23,44,2,ELECTION_trump_fav,VDC,event,8,289,6,0.9167624852431709
-4,etf_leads_kalshi,-2.554947311027042e-05,-0.44129269093146667,0.6590011168384231,0.516446603169473,65,2,4,23,44,2,ELECTION_trump_fav,VDC,event,8,289,6,0.8617706912502456
-3,etf_leads_kalshi,0.00011193171786312883,3.7028500950996395,0.00021319086399263065,0.516446603169473,65,2,4,23,44,2,ELECTION_trump_fav,VDC,event,8,289,6,0.003624244687874721
