date,VAW,VCR,VDC,VDE,VFH,VGT,VHT,VIS,VNQ,VOX,VPU,MARA,COIN,GEO,IBKR,FSLR,RUN,DHI,TAN,prob
2024-01-02,182.21414184570312,295.6844482421875,182.57757568359375,109.84758758544922,88.2682876586914,58.13820266723633,244.8550262451172,212.08245849609375,80.89161682128906,113.6319808959961,129.1370391845703,22.93000030517578,156.8800048828125,10.760000228881836,20.85381317138672,172.16000366210938,19.459999084472656,146.04786682128906,51.813838958740234,
2024-01-03,179.637451171875,289.0281066894531,180.96116638183594,111.28502655029297,87.28350830078125,57.359806060791016,243.94129943847656,208.11485290527344,78.95825958251953,113.0477066040039,129.6112060546875,23.440000534057617,152.24000549316406,10.760000228881836,21.366836547851562,167.4199981689453,18.440000534057617,144.1671905517578,49.83363342285156,
2024-01-04,178.79136657714844,286.9694519042969,180.71539306640625,109.51373291015625,87.59900665283203,57.01439666748047,245.10508728027344,208.58164978027344,78.81304931640625,112.80425262451172,129.0440673828125,26.270000457763672,155.60000610351562,10.729999542236328,21.50741958618164,166.30999755859375,17.059999465942383,143.91383361816406,48.53007507324219,0.5
2024-01-05,179.39707946777344,287.6065673828125,180.1765899658203,109.6435775756836,88.07707977294922,57.0279655456543,244.92234802246094,208.5913543701172,78.61335754394531,113.2424545288086,129.44383239746094,24.1200008392334,153.97999572753906,10.670000076293945,21.68500518798828,166.8699951171875,16.15999984741211,144.8297882080078,48.05243682861328,0.405
2024-01-08,180.31045532226562,292.7239074707031,181.5850830078125,108.3916244506836,88.66030883789062,58.47990798950195,247.62496948242188,210.09866333007812,79.7388687133789,115.07318878173828,130.46652221679688,25.979999542236328,159.4199981689453,10.960000038146973,21.618412017822266,166.1300048828125,16.639999389648438,148.38645935058594,48.05243682861328,0.465
2024-01-09,178.21453857421875,291.6553649902344,182.0860595703125,106.71306610107422,87.98146057128906,58.58353042602539,247.7115478515625,209.359619140625,79.20333862304688,114.76158142089844,129.4624481201172,25.729999542236328,151.99000549316406,10.789999961853027,21.635677337646484,166.91000366210938,16.299999237060547,147.8797607421875,47.6743049621582,0.455
2024-01-10,177.8299102783203,294.2237548828125,181.84027099609375,105.6280517578125,88.18224334716797,59.080665588378906,248.4906005859375,210.2931671142578,79.29412078857422,115.8717041015625,129.35084533691406,25.6299991607666,151.2899932861328,10.970000267028809,21.460559844970703,162.3300018310547,16.309999465942383,150.5692138671875,48.0225830078125,0.465
2024-01-11,177.28187561035156,293.6944274902344,181.7551727294922,105.73931884765625,87.742431640625,59.28791809082031,247.99050903320312,209.875,78.55890655517578,115.41402435302734,126.3478775024414,22.399999618530273,141.16000366210938,10.979999542236328,21.665271759033203,160.2899932861328,15.770000457763672,151.01744079589844,46.77873229980469,0.475
2024-01-12,177.4357452392578,290.5476379394531,182.39797973632812,107.13966369628906,87.51296997070312,59.41990661621094,247.3749542236328,209.8361053466797,79.0308837890625,115.77432250976562,127.0451889038086,18.979999542236328,130.77999877929688,10.720000267028809,21.793527603149414,160.44000244140625,15.100000381469727,149.9845428466797,46.22148895263672,0.485
2024-01-16,175.3686065673828,290.0083923339844,181.5094451904297,104.60791778564453,86.90105438232422,59.50749969482422,245.9995574951172,207.8425750732422,78.4499740600586,115.15108489990234,125.5390396118164,17.780000686645508,133.8800048828125,10.739999771118164,21.50248908996582,149.10000610351562,14.210000038146973,149.0783233642578,44.05221176147461,0.485
