k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_ticker,y_ticker,bar_freq
-3,y_leads_x,-0.04485931265111248,-1.5780933360393334,0.11454416892515058,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-2,y_leads_x,-0.06844375205375766,-1.5079726400741331,0.13156152958252093,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-1,y_leads_x,-0.06498810706978492,-1.2053459872369103,0.22806976343119345,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
0,contemporaneous,-0.06274469808890057,-1.2397235174824621,0.21507767552991208,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
1,x_leads_y,-0.04562027878389143,-1.7620788833660657,0.07805597054135724,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
2,x_leads_y,-0.02255627568115123,-0.9258025821747544,0.35454858502460884,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
3,x_leads_y,0.029406609787327842,3.6901023416467273,0.0002241638508480705,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
4,x_leads_y,0.01705160417310756,6.514828850685091,7.277258489601448e-11,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
5,x_leads_y,0.0008251025527069231,0.8804601098918163,0.3786101056310238,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
6,x_leads_y,-0.02440204735005274,-0.8640762236057439,0.387546019324703,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
7,x_leads_y,-0.10140475250453401,-1.4223711905911307,0.15491852198995484,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
8,x_leads_y,-0.022429840106242077,-0.287616875623215,0.7736400256147783,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
9,x_leads_y,-0.14079340120329617,-1.419982538515853,0.1556127646476148,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
10,x_leads_y,-0.06026837509365125,-0.9986742033982633,0.31795254111216953,0.8758863318490143,36,2,KXECKH287,KXECDJT281,600s
-10,y_leads_x,-0.003500736056152925,-0.3385088133677325,0.7349797866002179,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
-9,y_leads_x,-0.00863657881482234,-0.3481292947519002,0.7277430847111532,0.878981925058866,33,8,RATECUT-24SEP18,FEDDECISION-24SEP-C25,600s
