date,ts_et,B_A_sign_equal,B_B_beta_weighted,B_C_min_variance
2024-10-04,2024-10-04 16:00:00,0.0,0.0,0.0
2024-10-07,2024-10-07 16:00:00,0.051146357647385114,0.049145238182485014,0.06041304002614715
2024-10-08,2024-10-08 16:00:00,-0.03636837008828762,0.010486331486656952,0.041540837179326225
2024-10-09,2024-10-09 16:00:00,-0.006157615237791191,0.047058390893772145,0.08631843418079632
2024-10-10,2024-10-10 16:00:00,0.02847266702014557,0.06057248185188687,0.09466965398348927
2024-10-11,2024-10-11 16:00:00,0.06432336312083682,0.08445476376757347,0.0757958588870409
2024-10-14,2024-10-14 16:00:00,0.032646237593550835,0.05121298468302516,0.04105709935681399
2024-10-15,2024-10-15 16:00:00,-0.07715102991860037,-0.02339955875142794,-0.0710122562672284
2024-10-16,2024-10-16 16:00:00,-0.07187194491023804,-0.05408747112692251,-0.11495892048649958
2024-10-17,2024-10-17 16:00:00,-0.03958110447415935,-0.02624344552673249,-0.10452950513509669
2024-10-18,2024-10-18 16:00:00,-0.07531355846070797,-0.0493229071784775,-0.11376064169084138
2024-10-21,2024-10-21 16:00:00,-0.08903820064784099,-0.06761590185132538,-0.14190647393950137
2024-10-22,2024-10-22 16:00:00,-0.06989744750550332,-0.03159769432218007,-0.11694608111756676
2024-10-23,2024-10-23 16:00:00,-0.07543350562725346,-0.053162649772110576,-0.16869492342519032
2024-10-24,2024-10-24 16:00:00,-0.09999262539238424,-0.050712579422859394,-0.12107154109490742
2024-10-25,2024-10-25 16:00:00,-0.11514727452824722,-0.035064351609816774,-0.07488675537205987
2024-10-28,2024-10-28 16:00:00,-0.1332394410873618,-0.06089540027596113,-0.13441345047908954
2024-10-29,2024-10-29 16:00:00,-0.16545325955092832,-0.03510428276236041,-0.08650024154285882
2024-10-30,2024-10-30 16:00:00,-0.1464756223566266,-0.015498597327808786,-0.09801401768360356
2024-10-31,2024-10-31 16:00:00,-0.09531772513499903,-0.02558315055566582,-0.1455039185129457
2024-11-01,2024-11-01 16:00:00,-0.09134145026086143,0.0065964356014460955,-0.06610922299105967
2024-11-04,2024-11-04 16:00:00,-0.07034846336376174,0.04654397574064276,-0.013218041612837197
2024-11-05,2024-11-05 16:00:00,-0.10430126812982238,0.022572033650266856,-0.023516081416189667
2024-11-06,2024-11-06 16:00:00,0.08698471275243341,0.15675989001182097,0.0035270658289760434
