contract_ticker,etf,mode,bar_freq,bar_sec,is_primary_bar,median_intertrade_sec,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_bars,r2_daily_screen,contract_title
KXECKH276,VFH,calendar,10min,600,True,539.5,3,2,kalshi_leads_etf,-6.113926878276281e-05,-71.68278974909671,0.0,0.0,0.06992085243262902,110,6,13,7,0,11,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,10min,600,True,539.5,3,3,kalshi_leads_etf,9.047719862701216e-05,77.43953996585667,0.0,0.0,0.06992085243262902,110,6,13,7,0,11,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,-4,etf_leads_kalshi,2.6159378387444475e-07,0.30680058242732416,0.7589951649142401,0.7589951649142401,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,-3,etf_leads_kalshi,5.278399070230955e-07,0.4556976651596063,0.6486074012038372,0.7589951649142401,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,-2,etf_leads_kalshi,-8.45550263577961e-07,-0.5892490503160325,0.5556942174992978,0.7589951649142401,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,-1,etf_leads_kalshi,-3.9529763181945355e-06,-5.396414867632006,6.798564670275822e-08,6.118708203248241e-07,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,0,contemp,3.0688208097175243e-06,2.2110241448656933,0.027034165104741298,0.12165374297133584,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,1,kalshi_leads_etf,8.735568716875477e-07,0.8479122030255416,0.3964868679701208,0.7136763623462173,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,2,kalshi_leads_etf,-2.7781199614884187e-06,-0.9194978237081246,0.35783524341893747,0.7136763623462173,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,3,kalshi_leads_etf,-1.383555195366015e-06,-0.38371441478355695,0.7011901275475353,0.7589951649142401,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,30s,30,False,1343.6,4,4,kalshi_leads_etf,-3.827773992107135e-06,-1.5674223167351657,0.11701601096848654,0.35104803290545966,0.0329610802619873,4122,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,-4,etf_leads_kalshi,-3.654347526799362e-06,-0.41900649525787365,0.6752113854167874,0.7793303907939232,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,-3,etf_leads_kalshi,-5.110886335748085e-06,-1.2870415674250226,0.19807980023362703,0.44567955052566083,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,-2,etf_leads_kalshi,2.190711530963417e-06,1.4626036080529947,0.1435758754127661,0.44567955052566083,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,-1,etf_leads_kalshi,-3.3223767253041538e-06,-1.2962588178676873,0.19488633157566693,0.44567955052566083,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,0,contemp,-5.46189001940371e-07,-0.3951419579452755,0.6927381251501539,0.7793303907939232,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,1,kalshi_leads_etf,3.637317722741851e-07,0.06834825964336821,0.9455084082772115,0.9455084082772115,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,2,kalshi_leads_etf,-7.71974920662825e-06,-0.9446234203366796,0.34485116583878905,0.5172767487581836,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,3,kalshi_leads_etf,5.4891296344365026e-06,1.1154547481007253,0.2646555997414791,0.4763800795346624,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,1min,60,False,1343.6,4,4,kalshi_leads_etf,-5.8906902022195645e-06,-5.634311972763161,1.7575860248426468e-08,1.5818274223583822e-07,0.03087576007864401,2031,7,18,20,2,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,-4,etf_leads_kalshi,-2.3279174584570977e-05,-7.642685627873695,2.1273697307342838e-14,1.9146327576608554e-13,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,-3,etf_leads_kalshi,1.8237530443112515e-05,2.1283793877840886,0.0333056407228435,0.07493769162639788,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,-2,etf_leads_kalshi,-1.2315397603047229e-05,-1.006967085398329,0.31395059169125117,0.5651110650442521,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,-1,etf_leads_kalshi,-7.055730266462818e-06,-2.7013035011636095,0.006906827963603678,0.03108072583621655,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
