ticker,beta,se,t_stat,p_value,n_obs
VAW,-0.02514479492247762,0.06777918628986572,-0.3709810680662781,0.7106516326545886,19
VCR,0.1750708183053767,0.16305297241003303,1.0737051629155347,0.2829548466522709,19
VDC,-0.02416188248225406,0.0720715849327147,-0.33524838540475205,0.7374377254261127,19
VDE,-0.140109492653275,0.12057637484951321,-1.161997885805908,0.24523632371613135,19
VFH,-0.01192839971888596,0.0921825976609561,-0.12939969171576327,0.8970413916057636,19
VGT,0.22243766221473069,0.13762826439956,1.6162207900039596,0.10604658538356271,19
VHT,-0.09456306598423032,0.07169989778246279,-1.318873093391769,0.18721154279231922,19
VIS,-0.05087067843922639,0.07856570145240788,-0.6474921944156753,0.5173134446849065,19
VNQ,-0.1085625346733593,0.1271859475196443,-0.8535733450945235,0.3933414326551614,19
VOX,-0.033377766363209486,0.07201923001676969,-0.4634563068146864,0.6430373266411669,19
VPU,-0.027167334638130432,0.1042846820697154,-0.26051126684136394,0.7944694255885915,19
